chemin, class, methode, methode_LOC, methode_CLOC, methode_DC, CC, methode_BC
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, Classe_String_int_int_int, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getWMC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FichierCSV.java, FichierCSV, exportToCSV_LOC_Analyzer_File, 38, 0, 0.0, 5, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, getFilesList, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, ERROR : Class could not be identified, main_String[], 1, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, Main, main_String[], 12, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getName, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getStart, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, setBC_double, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getBC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getEnd, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getDC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeDC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementNoeudPredicat, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, Methode_String_int_int_int, 11, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, Add_GetMethod, 7, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, computeWMC_and_BC, 20, 3, 0.15, 3, 0.049999999999999996
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, regularCodeTest, 9, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, computeDC_CC_BC, 14, 4, 0.2857142857142857, 1, 0.2857142857142857
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, assertCLOCJavaDocCount, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementCLOC, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementLOC, 5, 0, 0.0, 1, 0.0
